Sample	Category	Cell #	Specimen	Type	Date Picked	Date Prepped	Amp Cycles	Qubit (ng/uL)	Diluted?	BioA (ng/uL)	Amount Sample	Amount H20	cDNA (ng)	Plate #	Position # 	Plate Position	Index Set	Index i5	Index i7
Sample_101C	1/2 small seq	101	8cell_7	Half cell	2022-02-19	2022-03-06	20	0,27			4,0	5,0	1,1	3	70	F10	C	S520	N712
Sample_102C	1/2 small seq	102	8cell_7	Half cell	2022-02-19	2022-03-06	20	1,01			1,0	8,0	1,0	3	18	B6	C	S515	N706
Sample_103C	1/2 small seq	103	8cell_7	Half cell	2022-02-19	2022-03-06	20	0,58		0,777	2,0	7,0	1,2	3	38	D2	C	S517	N702
Sample_108C	1/2 small seq	108	8cell_8	Half cell	2022-02-19	2022-03-06	20	0,496		0,251	2,0	7,0	1,0	3	39	D3	C	S517	N703
Sample_109C	1/2 small seq	109	8cell_8	Half cell	2022-02-19	2022-03-06	20	0,55			2,0	7,0	1,1	3	40	D4	C	S517	N704
Sample_110C	1/2 small seq	110	8cell_8	Half cell	2022-02-19	2022-03-06	20	0,256		0,0789	4,0	5,0	1,0	3	71	F11	C	S520	N714
Sample_116C	1/2 small seq	116	8cell_9	Half cell	2022-02-19	2022-03-06	20	0,14		0,00606	5,0	4,0	0,7	3	77	G5	C	S521	N705
Sample_117C	1/2 small seq	117	8cell_9	Half cell	2022-02-19	2022-03-06	20	0,662			2,0	7,0	1,3	3	41	D5	C	S517	N705
Sample_118C	1/2 small seq	118	8cell_9	Half cell	2022-02-19	2022-03-06	20	0,178			5,0	4,0	0,9	3	78	G6	C	S521	N706
Sample_124C	1/2 small seq	124	8cell_10	Half cell	2022-02-19	2022-03-06	20	0,64			2,0	7,0	1,3	3	42	D6	C	S517	N706
Sample_125C	1/2 small seq	125	8cell_10	Half cell	2022-02-19	2022-03-06	20	0,642		0,326	2,0	7,0	1,3	3	43	D7	C	S517	N707
Sample_126C	1/2 small seq	126	8cell_10	Half cell	2022-02-19	2022-03-06	20	0,258			4,0	5,0	1,0	3	72	F12	C	S520	N715
Sample_127C	1/2 small seq	127	8cell_10	Half cell	2022-02-19	2022-03-06	20	0,756			1,0	8,0	0,8	3	19	B7	C	S515	N707
Sample_132C	1/2 small seq	132	8cell_11	Half cell	2022-02-19	2022-03-06	20	0,896		0,691	1,0	8,0	0,9	3	20	B8	C	S515	N710
Sample_133C	1/2 small seq	133	8cell_11	Half cell	2022-02-19	2022-03-06	20	0,578			2,0	7,0	1,2	3	44	D8	C	S517	N710
Sample_134C	1/2 small seq	134	8cell_11	Half cell	2022-02-19	2022-03-06	20	0,962		0,765	1,0	8,0	1,0	3	21	B9	C	S515	N711
Sample_53C	1/2 small seq	53	8Cell_1	Half cell	2022-02-19	2022-03-06	20	1,28	1,00	1,244	1,0	8,0	1,0	3	1	A1	C	S513	N701
Sample_54C	1/2 small seq	54	8Cell_1	Half cell	2022-02-19	2022-03-06	20	0,132			5,0	4,0	0,7	3	74	G2	C	S521	N702
Sample_61C	1/2 small seq	61	8cell_2	Half cell	2022-02-19	2022-03-06	20	0,734		0,288	2,0	7,0	1,5	3	35	C11	C	S516	N714
Sample_62C	1/2 small seq	62	8cell_2	Half cell	2022-02-19	2022-03-06	20	1,07			1,0	8,0	1,1	3	13	B1	C	S515	N701
Sample_63C	1/2 small seq	63	8cell_2	Half cell	2022-02-19	2022-03-06	20	0,202			5,0	4,0	1,0	3	75	G3	C	S521	N703
Sample_69C	1/2 small seq	69	8cell_3	Half cell	2022-02-19	2022-03-06	20	1,05			1,0	8,0	1,1	3	14	B2	C	S515	N702
Sample_70C	1/2 small seq	70	8cell_3	Half cell	2022-02-19	2022-03-06	20	2,04	1,00		1,0	8,0	1,0	3	2	A2	C	S513	N702
Sample_77C	1/2 small seq	77	8cell_4	Half cell	2022-02-19	2022-03-06	20	0,80			1,0	8,0	0,8	3	15	B3	C	S515	N703
Sample_78C	1/2 small seq	78	8cell_4	Half cell	2022-02-19	2022-03-06	20	0,378		0,143	3,0	6,0	1,1	3	64	F4	C	S520	N704
Sample_79C	1/2 small seq	79	8cell_4	Half cell	2022-02-19	2022-03-06	20	0,678			2,0	7,0	1,4	3	36	C12	C	S516	N715
Sample_85C	1/2 small seq	85	8cell_5	Half cell	2022-02-19	2022-03-06	20	0,486			2,0	7,0	1,0	3	37	D1	C	S517	N701
Sample_86C	1/2 small seq	86	8cell_5	Half cell	2022-02-19	2022-03-06	20	0,948			1,0	8,0	0,9	3	16	B4	C	S515	N704
Sample_93C	1/2 small seq	93	8cell_6	Half cell	2022-02-19	2022-03-06	20	0,894			1,0	8,0	0,9	3	17	B5	C	S515	N705
Sample_94C	1/2 small seq	94	8cell_6	Half cell	2022-02-19	2022-03-06	20	0,286			4,0	5,0	1,1	3	69	F9	C	S520	N711
